"Unit 1 Name","Unit 2 Name","Unit ID 1","Unit ID 2","Weekly APR","Daily Volume (USD)","Weekly Volume (USD)","AMM","URL"
"null","null",818182311,841157954,1,1279,17477,"Algofi","https://info.algofi.org/pool-info/841170409"
"USDC","STBL",31566704,465865291,0.1,11,421,"Algofi","https://info.algofi.org/pool-info/658337046"
"null","null",818179690,841157954,3.2,113,7025,"Algofi","https://info.algofi.org/pool-info/855716333"
"goETH","STBL",386195940,465865291,0.8,167,1618,"Algofi","https://info.algofi.org/pool-info/635853824"
"ALGO","STBL",1,465865291,2.4,246,4628,"Algofi","https://info.algofi.org/pool-info/607645439"
"null","null",818179690,818182311,8.2,1005,12228,"Algofi","https://info.algofi.org/pool-info/919950071"
"OPUL","STBL",287867876,465865291,2.3,0,929,"Algofi","https://info.algofi.org/pool-info/637801923"
"null","null",818184214,841157954,0.5,19,504,"Algofi","https://info.algofi.org/pool-info/870150391"
"null","null",818188553,841157954,1.9,24,1223,"Algofi","https://info.algofi.org/pool-info/870143131"
"ALGO","USDC",1,31566704,2.9,134,1713,"Algofi","https://info.algofi.org/pool-info/605929989"
"goBTC","STBL",386192725,465865291,1.2,27,675,"Algofi","https://info.algofi.org/pool-info/635846127"
"XET","STBL",283820866,465865291,4.6,103,738,"Algofi","https://info.algofi.org/pool-info/635256627"
"USDt","USDC",312769,31566704,0.9,27,1091,"Algofi","https://info.algofi.org/pool-info/659678644"
"USDt","STBL",312769,465865291,0.1,16,102,"Algofi","https://info.algofi.org/pool-info/659677335"
"ALGO","VYBE",1,558978094,0.1,0,10,"Algofi","https://info.algofi.org/pool-info/688675907"
"STBL","DEFLY",465865291,470842789,1.4,19,85,"Algofi","https://info.algofi.org/pool-info/624956175"
"null","null",841157954,900919286,0.4,6,56,"Algofi","https://info.algofi.org/pool-info/900923609"
"ZONE","STBL",444035862,465865291,10.3,3,357,"Algofi","https://info.algofi.org/pool-info/647799801"
"null","null",818179690,900919286,1.5,39,151,"Algofi","https://info.algofi.org/pool-info/962367416"
