"Unt1Name15ChrMx","Unit 2 Name","Unit ID 1","Unit ID 2","Weekly APR","Daily Volume (USD)","Weekly Volume (USD)","Platform","URL"
"SEED","ALGO",582020067,0,0,0,0,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=582020067&asset_2=0"
"QRC","ALGO",769556781,0,0.3,1,13,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=769556781&asset_2=0"
"Tacos","ALGO",329110405,0,0.5,9,24,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=329110405&asset_2=0"
"OPUL","USDC",287867876,31566704,14.1,14632,73763,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=287867876&asset_2=31566704"
"MOONBOI","ALGO",390982964,0,0.3,22,245,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=390982964&asset_2=0"
"AQA","ALGO",781829486,0,0,0,0,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=781829486&asset_2=0"
"XUT","ALGO",947923645,0,0.8,43,211,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=947923645&asset_2=0"
"gALGO","ALGO",793124631,0,0,0,7,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=793124631&asset_2=0"
"FACTR","USDC",984420777,31566704,0.6,10,71,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=984420777&asset_2=31566704"
"DeLTA","ALGO",722955559,0,0.4,0,32,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=722955559&asset_2=0"
"VEG","ALGO",582025225,0,0,0,0,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=582025225&asset_2=0"
"JOY","ALGO",561127431,0,0,0,0,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=561127431&asset_2=0"
"YLDY","HDL",226701642,137594422,2.9,10,121,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=226701642&asset_2=137594422"
"LOUD","ALGO",567485181,0,0,0,0,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=567485181&asset_2=0"
"TLP","USDt",987374809,312769,1.1,48,877,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=987374809&asset_2=312769"
"STBL","ALGO",465865291,0,3.7,318,1466,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=465865291&asset_2=0"
"META","ALGO",712012773,0,2.5,144,621,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=712012773&asset_2=0"
"TinyLock","ALGO",551903529,0,0.2,3,32,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=551903529&asset_2=0"
"algodots","ALGO",745410378,0,0.1,1,12,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=745410378&asset_2=0"
"Pup","ALGO",394904431,0,0.4,3,30,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=394904431&asset_2=0"
"ANML","ALGO",446220964,0,0.1,0,7,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=446220964&asset_2=0"
"LUNAR","ALGO",416737271,0,0,0,0,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=416737271&asset_2=0"
"ASASTATS","ALGO",393537671,0,0.5,0,20,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=393537671&asset_2=0"
"YLDY","ALGO",226701642,0,5.5,2247,18609,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=226701642&asset_2=0"
"PATRON","ALGO",558801604,0,0.1,7,42,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=558801604&asset_2=0"
"gALGO","USDC",793124631,31566704,1.6,79,604,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=793124631&asset_2=31566704"
"FLDS","ALGO",994035569,0,32.2,357,8122,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=994035569&asset_2=0"
"SEEDS","ALGO",523605642,0,0,0,6,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=523605642&asset_2=0"
"FMA","ALGO",547405153,0,0,0,0,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=547405153&asset_2=0"
"AQUA","ALGO",810972054,0,0.1,1,5,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=810972054&asset_2=0"
"BUG","ALGO",582023016,0,0,0,0,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=582023016&asset_2=0"
"TREES","ALGO",444108880,0,1.2,7,63,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=444108880&asset_2=0"
"DC","ALGO",601894079,0,1.3,0,42,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=601894079&asset_2=0"
"OPUL","ALGO",287867876,0,13.7,8538,29273,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=287867876&asset_2=0"
"THETA","ALGO",490508385,0,0,0,0,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=490508385&asset_2=0"
"HDL","ALGO",137594422,0,1.6,13,552,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=137594422&asset_2=0"
"PRSC","ALGO",415045633,0,0,0,0,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=415045633&asset_2=0"
"APH","ALGO",514021542,0,0,0,0,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=514021542&asset_2=0"
"MOIST","ALGO",756578163,0,5.4,71,513,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=756578163&asset_2=0"
"AFD","ALGO",393495312,0,2.2,13,145,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=393495312&asset_2=0"
"Sober","ALGO",514670697,0,0,0,0,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=514670697&asset_2=0"
"RTRD","ALGO",687306263,0,0,0,0,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=687306263&asset_2=0"
"EST","ALGO",755027431,0,0,0,0,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=755027431&asset_2=0"
"Planets","ALGO",27165954,0,13.2,4910,18546,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=27165954&asset_2=0"
"XET","ALGO",283820866,0,7.3,258,4347,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=283820866&asset_2=0"
"gALGO3","ALGO",694432641,0,0,0,0,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=694432641&asset_2=0"
"XET","YLDY",283820866,226701642,4.9,88,1178,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=283820866&asset_2=226701642"
"TLP","ALGO",987374809,0,6.1,50,910,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=987374809&asset_2=0"
"DGL","ALGO",462629820,0,0,0,0,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=462629820&asset_2=0"
"KTNC","ALGO",361671874,0,0.1,0,8,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=361671874&asset_2=0"
"LINX","ALGO",719923979,0,0.4,11,21,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=719923979&asset_2=0"
"Choice","ALGO",297995609,0,20.2,25,1015,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=297995609&asset_2=0"
"FLAMINGO","ALGO",406383570,0,0.3,0,8,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=406383570&asset_2=0"
"USDC","USDt",31566704,312769,0.2,41,275,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=31566704&asset_2=312769"
"FIGHT","ALGO",591601798,0,0.1,2,32,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=591601798&asset_2=0"
"GRAD","ALGO",674925395,0,0.2,2,67,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=674925395&asset_2=0"
"OCTO","ALGO",559219992,0,0.1,0,16,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=559219992&asset_2=0"
"ALCH","ALGO",310014962,0,2.5,56,309,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=310014962&asset_2=0"
"AWT","ALGO",233939122,0,1.4,1,130,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=233939122&asset_2=0"
"VETS","ALGO",610886011,0,0,0,1,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=610886011&asset_2=0"
"SMILE","ALGO",300208676,0,8.2,48,442,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=300208676&asset_2=0"
"AGLD","ALGO",472528156,0,0,0,0,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=472528156&asset_2=0"
"KOCO","ALGO",743695671,0,0,0,0,"Tinyman","https://app.tinyman.org/#/pool/add-liquidity?asset_1=743695671&asset_2=0"
"null","null",818182311,841157954,0.3,108300,462090,"Algofi","https://info.algofi.org/pool-info/841170409"
"null","null",818179690,841157954,3.1,64191,160344,"Algofi","https://info.algofi.org/pool-info/855716333"
"null","null",818179690,818182311,7.6,39708,198327,"Algofi","https://info.algofi.org/pool-info/919950071"
"null","null",818184214,841157954,2.8,15254,40516,"Algofi","https://info.algofi.org/pool-info/870150391"
"null","null",818188553,841157954,2.2,3358,17627,"Algofi","https://info.algofi.org/pool-info/870143131"
"null","null",818179690,900919286,9.3,4699,61385,"Algofi","https://info.algofi.org/pool-info/962367416"
"null","null",841157954,900919286,3.8,2024,24705,"Algofi","https://info.algofi.org/pool-info/900923609"
"OPUL","STBL",287867876,465865291,11.1,2841,22792,"Algofi","https://info.algofi.org/pool-info/637801923"
"ALGO","STBL",1,465865291,14.1,6923,39288,"Algofi","https://info.algofi.org/pool-info/607645439"
"USDC","STBL",31566704,465865291,6.5,6160,44366,"Algofi","https://info.algofi.org/pool-info/658337046"
"ALGO","USDC",1,31566704,11.6,6248,27533,"Algofi","https://info.algofi.org/pool-info/605929989"
"ALGO","RIO",1,2751733,18.3,2943,14185,"Algofi","https://info.algofi.org/pool-info/613230784"
"goETH","STBL",386195940,465865291,7.8,1385,16548,"Algofi","https://info.algofi.org/pool-info/635853824"
"USDt","USDC",312769,31566704,8.9,5619,44892,"Algofi","https://info.algofi.org/pool-info/659678644"
"ALGO","VYBE",1,558978094,0.3,15,75,"Algofi","https://info.algofi.org/pool-info/688675907"
"XET","STBL",283820866,465865291,7.4,170,1621,"Algofi","https://info.algofi.org/pool-info/635256627"
"goBTC","STBL",386192725,465865291,8.6,1375,4829,"Algofi","https://info.algofi.org/pool-info/635846127"
"USDt","STBL",312769,465865291,3,382,3162,"Algofi","https://info.algofi.org/pool-info/659677335"
"STBL","DEFLY",465865291,470842789,7.3,189,751,"Algofi","https://info.algofi.org/pool-info/624956175"
"ALGO","OPUL",1,287867876,25.5,409,2230,"Algofi","https://info.algofi.org/pool-info/613210847"
"ALGO","Block",1,251014570,0.4,2,28,"Algofi","https://info.algofi.org/pool-info/613236122"
"ALGO","goETH",1,386195940,6.3,116,1141,"Algofi","https://info.algofi.org/pool-info/607660059"
"ALGO","XET",1,283820866,9.8,60,584,"Algofi","https://info.algofi.org/pool-info/611333481"
"ZONE","STBL",444035862,465865291,14,225,804,"Algofi","https://info.algofi.org/pool-info/647799801"
"goBTC","goETH",386192725,386195940,6,216,1016,"Algofi","https://info.algofi.org/pool-info/609139556"
"ALGO","ACORN",1,226265212,0.5,0,28,"Algofi","https://info.algofi.org/pool-info/613211274"
"ALGO","goBTC",1,386192725,9.2,309,1316,"Algofi","https://info.algofi.org/pool-info/607663981"
"ALGO","null",1,900652777,26.9,821,3378,"Algofi","https://info.algofi.org/pool-info/906655543"
"ALGO","YLDY",1,226701642,14.4,73,566,"Algofi","https://info.algofi.org/pool-info/607668243"
"ALGO","MCAU",1,6547014,10,89,379,"Algofi","https://info.algofi.org/pool-info/649942563"
"ALGO","USDt",1,312769,9.9,197,877,"Algofi","https://info.algofi.org/pool-info/613217007"
"USDC","STBL",31566704,465865291,2.6,34,229,"Algofi","https://info.algofi.org/pool-info/609172389"
"ALGO","null",1,793124631,3.1,50,268,"Algofi","https://info.algofi.org/pool-info/813837623"
"ALGO","DEFLY",1,470842789,149,185,2572,"Algofi","https://info.algofi.org/pool-info/607684957"
"ALGO","USDt",1,312769,14.6,11,89,"Algofi","https://info.algofi.org/pool-info/612897573"
"ALGO","ZONE",1,444035862,11.8,14,46,"Algofi","https://info.algofi.org/pool-info/640481749"
