"Unit 1 Name","Unit 2 Name","Unit ID 1","Unit ID 2","Weekly APR","Daily Volume (USD)","Weekly Volume (USD)","AMM","URL"
"YLDY","ALGO",226701642,0,18,"n/a","n/a","Yieldly Staking","https://app.yieldly.finance/pools?id=233725850"
"YLDY","ALGX",226701642,724480511,35,"n/a","n/a","Yieldly Staking","https://app.yieldly.finance/pools?id=779181697"
"YLDY","GARDIAN",226701642,692432647,1364,"n/a","n/a","Yieldly Staking","https://app.yieldly.finance/pools?id=888151708"
"YLDY","DBD",226701642,747635241,6357,"n/a","n/a","Yieldly Staking","https://app.yieldly.finance/pools?id=864612763"
"YLDY","KITSU",226701642,406361925,18759,"n/a","n/a","Yieldly Staking","https://app.yieldly.finance/pools?id=858089184"
"YLDY","BOARD",226701642,342889824,0,"n/a","n/a","Yieldly Staking","https://app.yieldly.finance/pools?id=835504964"
"ALGX","YLDY",724480511,226701642,21277,"n/a","n/a","Yieldly Liquidity","https://app.yieldly.finance/liquidity-pools?id=779189004"
"BOARD","YLDY",342889824,226701642,"NaN","n/a","n/a","Yieldly Liquidity","https://app.yieldly.finance/liquidity-pools?id=835516046"
"KITSU","YLDY",406361925,226701642,1577,"n/a","n/a","Yieldly Liquidity","https://app.yieldly.finance/liquidity-pools?id=858162134"
"DBD","YLDY",747635241,226701642,17452,"n/a","n/a","Yieldly Liquidity","https://app.yieldly.finance/liquidity-pools?id=872723249"
"ALGO","YLDY",0,226701642,324,"n/a","n/a","Yieldly Liquidity","https://app.yieldly.finance/liquidity-pools?id=873387230"
"GARDIAN","YLDY",692432647,226701642,22899,"n/a","n/a","Yieldly Liquidity","https://app.yieldly.finance/liquidity-pools?id=888156483"
"ALGX","ALGX",724480511,724480511,577,"n/a","n/a","Yieldly Distribution","https://app.yieldly.finance/distribution?id=779198429"
