"query","answer"
"bearish",3
"neutral",1
"bullish",1
"inPercentage",3.86
"betweenPercentage",3
"outPercentage",93.15
"hodler",14.49
"cruiser",82.51
"trader",2.99
"West TX 14 Days",55.05
"East TX 14 Days",44.95
"BTC Correlation",0.02
"TX > $100k for 7 days",471492024
