"Unit 1 Name","Unit 2 Name","Unit ID 1","Unit ID 2","Weekly APR","Daily Volume (USD)","Weekly Volume (USD)","AMM","URL"
"USDC","DEFLY","NaN","NaN",4.4,170,1230,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"goBTC","Vote","NaN","NaN",0.2,994,4372,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","DBD","NaN","NaN",2.4,83,2093,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","chip","NaN","NaN",0.4,28,312,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","COSG","NaN","NaN",2.7,81,2074,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"fALGO","fgALGO","NaN","NaN",0.7,663,4460,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"goBTC","DEFLY","NaN","NaN",2.1,150,430,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","GAIN","NaN","NaN",15.4,554,11517,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"Finite","gALGO","NaN","NaN",0.9,55,179,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","COOP","NaN","NaN",3.2,171,607,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"USDC","OPUL","NaN","NaN",17.9,131,3011,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","COOP","NaN","NaN",4,342,2692,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"xUSD","mALGO","NaN","NaN",3,126,1779,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"Vote","Gold","NaN","NaN",0,29,234,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","gALGO","NaN","NaN",1,35,400,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","AKTA","NaN","NaN",0.9,35,427,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"EURS","gALGO","NaN","NaN",2.8,298,1312,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"goUSD","gALGO","NaN","NaN",6.7,213,3161,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","Vote","NaN","NaN",0.5,7,61,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"USDC","Finite","NaN","NaN",3.8,92,426,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","Gold","NaN","NaN",0,53,458,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"Gold","GoldDAO","NaN","NaN",0,56,330,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","GoldDAO","NaN","NaN",1.3,61,479,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","VYBE","NaN","NaN",0,1,8,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","Peps","NaN","NaN",4,1,359,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","Barb","NaN","NaN",2.2,0,182,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"gALGO","CCC","NaN","NaN",1.1,31,78,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","ARBZ","NaN","NaN",1.1,8,65,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","RWA","NaN","NaN",7.3,485,1574,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","ADAO","NaN","NaN",0,0,0,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","goMINT","NaN","NaN",2.7,24,461,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","OPUL","NaN","NaN",5.7,54,938,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"goETH","PEPE","NaN","NaN",11,50,609,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","ORA","NaN","NaN",6.4,8,332,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","OPUL","NaN","NaN",5.2,50,977,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"USDt","USDC","NaN","NaN",0.3,0,42,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"DBD","A200","NaN","NaN",2,13,370,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"EURS","GoldDAO","NaN","NaN",0.1,72,528,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","COSG","NaN","NaN",2.9,15,116,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"USDC","GoldDAO","NaN","NaN",0.3,67,372,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"GOLD$","Finite","NaN","NaN",2.2,12,76,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"gALGO","ARBZ","NaN","NaN",0.6,2,20,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"COOP","PEPE","NaN","NaN",12.4,14,368,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"GEMS","PEPE","NaN","NaN",8,16,230,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"USDC","COO","NaN","NaN",4.3,14,118,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","A200","NaN","NaN",4,339,3539,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"Finite","PEPE","NaN","NaN",8.4,25,230,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","Block","NaN","NaN",0.3,0,17,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","ACORN","NaN","NaN",0,0,1,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"goETH","Finite","NaN","NaN",1.4,1,29,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"WBTC","ARBZ","NaN","NaN",0.4,1,7,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"BLAPU","VEST","NaN","NaN",0.1,0,2,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"USDC","CRSD","NaN","NaN",4,15,58,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","DEGEN","NaN","NaN",0,0,0,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","ALGX","NaN","NaN",26.3,99,362,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"SILVER$","Finite","NaN","NaN",0.8,4,12,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","MemO","NaN","NaN",1.3,4,71,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"WETH","Max","NaN","NaN",1.9,0,27,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","GARD","NaN","NaN",1.3,0,15,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"goMINT","COOP","NaN","NaN",5,5,61,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"USDC","Leaf","NaN","NaN",1.6,8,63,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"Finite","Peps","NaN","NaN",3.5,3,35,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","goMINT","NaN","NaN",1.8,3,63,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"goBTC","AKPP","NaN","NaN",1.6,4,15,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"USDC","ARBZ","NaN","NaN",2.1,3,19,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"CRSD","WBTC","NaN","NaN",1.8,8,17,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"USDC","USDC","NaN","NaN",0,0,0,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","BigHugs","NaN","NaN",10.7,5,92,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"Barb","A200","NaN","NaN",0.3,9,89,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"BigHugs","goBTC","NaN","NaN",2.7,3,22,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"GOLD$","ARBZ","NaN","NaN",1.5,1,11,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"xUSD","CIG","NaN","NaN",2,0,15,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","M.A.G.A.","NaN","NaN",0,0,0,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","GIZMO","NaN","NaN",0,0,0,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"gALGO","CABAL","NaN","NaN",5.1,0,191,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"USDC","BOOM","NaN","NaN",2.3,2,15,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","THC","NaN","NaN",3.8,6,88,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","GoldDAO","NaN","NaN",0.1,5,36,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"FAME","Vote","NaN","NaN",3.7,33,37,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","XET","NaN","NaN",10.1,12,214,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"gALGO","BAG","NaN","NaN",0,0,0,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"EURS","xUSD","NaN","NaN",0.3,3,56,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"TEAR","GMARS","NaN","NaN",0,0,0,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"GEMS","WOOD","NaN","NaN",0,0,0,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","SILVER$","NaN","NaN",4.9,1,25,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","BAG","NaN","NaN",0.8,1,9,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","LTBX","NaN","NaN",0.1,0,2,"PactFi","https://app.pact.fi/add-liquidity/NaN"
