"Unit 1 Name","Unit 2 Name","Unit ID 1","Unit ID 2","Weekly APR","Daily Volume (USD)","Weekly Volume (USD)","AMM","URL"
"ALGO","USDC",0,31566704,17,6753,50903,"HumbleSwap","https://app.humble.sh/pool/add/777628254"
"ALGO","USDt",0,312769,13,250,4530,"HumbleSwap","https://app.humble.sh/pool/add/777639704"
"USDC","USDt",31566704,312769,8.9,46,613,"HumbleSwap","https://app.humble.sh/pool/add/771891102"
"ALGO","goUSD",0,672913181,7.9,188,1157,"HumbleSwap","https://app.humble.sh/pool/add/835609896"
"ALGO","Planets",0,27165954,6.1,29,88,"HumbleSwap","https://app.humble.sh/pool/add/787300124"
"TBD","TBD","TBD","TBD",5,17,117,"HumbleSwap","https://app.humble.sh/pool/add/1088115567"
"USDt","BD",312769,829992960,4,6,54,"HumbleSwap","https://app.humble.sh/pool/add/851840516"
"ALGO","OPUL",0,287867876,3.3,1,9,"HumbleSwap","https://app.humble.sh/pool/add/777643671"
"TBD","TBD","TBD","TBD",3.2,6,45,"HumbleSwap","https://app.humble.sh/pool/add/1203310370"
"TBD","TBD","TBD","TBD",3,2,16,"HumbleSwap","https://app.humble.sh/pool/add/1805578147"
"TBD","TBD","TBD","TBD",2.9,2,7,"HumbleSwap","https://app.humble.sh/pool/add/1189879510"
"ALGO","WORMHOLE",0,805614002,2.7,2,13,"HumbleSwap","https://app.humble.sh/pool/add/805930289"
"TBD","TBD","TBD","TBD",2.3,3,36,"HumbleSwap","https://app.humble.sh/pool/add/1203316921"
"TBD","TBD","TBD","TBD",2.1,9,60,"HumbleSwap","https://app.humble.sh/pool/add/1205778312"
"ALGO","goBTC",0,386192725,2,1,10,"HumbleSwap","https://app.humble.sh/pool/add/777662431"
"ALGO","goMINT",0,441139422,2,18,32,"HumbleSwap","https://app.humble.sh/pool/add/779142716"
"ALGO","MOIST",0,756578163,1.7,2,7,"HumbleSwap","https://app.humble.sh/pool/add/794422646"
"TBD","TBD","TBD","TBD",1.5,1,7,"HumbleSwap","https://app.humble.sh/pool/add/1179190164"
"ALGO","VEST",0,700965019,1.1,160,1283,"HumbleSwap","https://app.humble.sh/pool/add/777747637"
"TBD","TBD","TBD","TBD",0.9,3,4,"HumbleSwap","https://app.humble.sh/pool/add/933390580"
"TBD","TBD","TBD","TBD",0.9,1,5,"HumbleSwap","https://app.humble.sh/pool/add/962891098"
"TBD","TBD","TBD","TBD",0.9,2,6,"HumbleSwap","https://app.humble.sh/pool/add/1218696792"
"ALGO","xSOL",0,822571085,0.8,1,7,"HumbleSwap","https://app.humble.sh/pool/add/822571085"
"TBD","TBD","TBD","TBD",0.7,10,12,"HumbleSwap","https://app.humble.sh/pool/add/1207766353"
"TBD","TBD","TBD","TBD",0.7,1,3,"HumbleSwap","https://app.humble.sh/pool/add/1115867335"
"ALGO","YLDY",0,226701642,0.7,0,3,"HumbleSwap","https://app.humble.sh/pool/add/777623301"
"ALGO","GHOST",0,714773890,0.7,2,2,"HumbleSwap","https://app.humble.sh/pool/add/810072531"
"ALGO","Tacos",0,329110405,0.7,1,3,"HumbleSwap","https://app.humble.sh/pool/add/779655316"
"ALGO","DHARM",0,818432243,0.6,8,38,"HumbleSwap","https://app.humble.sh/pool/add/847371107"
